"subj"	"block"	"trialN"	"setID"	"RTs"	"cond"	"bsl"	"RTadj"	"RTlog"	"rep"	"day"
"2"	"3"	49	22	1.7593	"RANDREG"	0.287	1.4723	0.16799631208688	3	"day1"
"2"	"3"	58	27	1.6777	"RANDREG"	0.287	1.3907	0.14323345465317	3	"day1"
"2"	"3"	9	37	1.7726	"TARGET"	0.287	1.4856	0.171901890731724	1	"day1"
"2"	"3"	13	42	1.5638	"TARGET"	0.287	1.2768	0.106122874006654	1	"day1"
"2"	"3"	18	37	1.7587	"TARGET"	0.287	1.4717	0.167819289877132	2	"day1"
"2"	"3"	22	1	2.0876	"TARGET"	0.287	1.8006	0.255417245808496	2	"day1"
"2"	"3"	26	42	1.7491	"TARGET"	0.287	1.4621	0.164977077110886	2	"day1"
"2"	"3"	27	37	1.7183	"TARGET"	0.287	1.4313	0.155730671278589	3	"day1"
"2"	"3"	30	1	1.9112	"TARGET"	0.287	1.6242	0.21063950615415	3	"day1"
"2"	"3"	53	42	1.6833	"TARGET"	0.287	1.3963	0.144978738020031	3	"day1"
"2"	"4"	3	46	1.8333	"RANDREG"	0.3358	1.4975	0.175366831061349	1	"day1"
"2"	"4"	7	60	1.8735	"RANDREG"	0.3358	1.5377	0.186871614364535	1	"day1"
"2"	"4"	8	103	1.4498	"RANDREG"	0.3358	1.114	0.0468851908377101	1	"day1"
"2"	"4"	13	17	1.9774	"RANDREG"	0.3358	1.6416	0.215267343431722	1	"day1"
"2"	"4"	14	88	1.9525	"RANDREG"	0.3358	1.6167	0.208629438315688	1	"day1"
"2"	"4"	16	65	1.7425	"RANDREG"	0.3358	1.4067	0.148201487458512	1	"day1"
"2"	"4"	20	29	1.9817	"RANDREG"	0.3358	1.6459	0.216403445233793	2	"day1"
"2"	"4"	23	84	1.9383	"RANDREG"	0.3358	1.6025	0.204798038190855	2	"day1"
"2"	"4"	26	9	1.7281	"RANDREG"	0.3358	1.3923	0.143732823138692	2	"day1"
"2"	"4"	28	48	1.8173	"RANDREG"	0.3358	1.4815	0.17070165581607	2	"day1"
"2"	"4"	35	34	1.766	"RANDREG"	0.3358	1.4302	0.155396773704851	2	"day1"
"2"	"4"	43	82	2.1231	"RANDREG"	0.3358	1.7873	0.252197455364877	2	"day1"
"2"	"4"	44	4	2.1795	"RANDREG"	0.3358	1.8437	0.265690255685065	3	"day1"
"2"	"4"	49	71	1.5946	"RANDREG"	0.3358	1.2588	0.0999567342411827	3	"day1"
"2"	"4"	52	96	1.417	"RANDREG"	0.3358	1.0812	0.0339060370266878	3	"day1"
"2"	"4"	53	3	1.6819	"RANDREG"	0.3358	1.3461	0.129077324252737	3	"day1"
"2"	"4"	58	25	2.015	"RANDREG"	0.3358	1.6792	0.225102425574344	3	"day1"
"2"	"4"	60	10	1.9343	"RANDREG"	0.3358	1.5985	0.203712640607707	3	"day1"
"2"	"4"	6	42	1.756	"TARGET"	0.3358	1.4202	0.152349508312726	1	"day1"
"2"	"4"	31	37	1.7643	"TARGET"	0.3358	1.4285	0.154880244718762	1	"day1"
"2"	"4"	32	1	2.0021	"TARGET"	0.3358	1.6663	0.221753194318869	1	"day1"
"2"	"4"	36	42	1.61	"TARGET"	0.3358	1.2742	0.105237600746023	2	"day1"
"2"	"4"	42	37	1.7873	"TARGET"	0.3358	1.4515	0.161817040167693	2	"day1"
"2"	"4"	46	1	1.4077	"TARGET"	0.3358	1.0719	0.0301542709221024	2	"day1"
"2"	"4"	48	42	1.5893	"TARGET"	0.3358	1.2535	0.0981243382942353	3	"day1"
"2"	"4"	50	37	1.6168	"TARGET"	0.3358	1.281	0.107549129744686	3	"day1"
"2"	"5"	1	76	1.7551	"RANDREG"	0.27955	1.47555	0.168953930444709	1	"day1"
"2"	"5"	3	51	2.1049	"RANDREG"	0.27955	1.82535	0.261346150159558	1	"day1"
"2"	"5"	4	86	1.8438	"RANDREG"	0.27955	1.56425	0.194306163649559	1	"day1"
